Grootheid.code;Grootheid.omschrijving;Parameter.code;Parameter.omschrijving;CAS-nummer;Eenheid.code;Hoedanigheid.code;Compartiment.code;KRWwatertype.code;GeoObject.identificatie;Waardebewerkingmethode.code;Begindatum;Einddatum;Zeer goed;Goed;Matig;Ontoereikend;Slecht;Referentie goed;Referentie slecht;Bijzondere Omstandigheid
AANTPVLME;Aantal per volume;FYT_bloei7;Fytopl. - bloeisoort (07-08) Microcystis;NVT;n/ml;cel;OW;M12;;GEM;2000-01-01;;;;>20000;>100000;;;;
AANTPVLME;Aantal per volume;FYT_bloei7;Fytopl. - bloeisoort (07-08) Microcystis;NVT;n/ml;cel;OW;M14;;GEM;2000-01-01;;;;>20000;>100000;;;;
AANTPVLME;Aantal per volume;FYT_bloei7;Fytopl. - bloeisoort (07-08) Microcystis;NVT;n/ml;cel;OW;M20;;GEM;2000-01-01;;;;>20000;>100000;;;;
AANTPVLME;Aantal per volume;FYT_bloei7;Fytopl. - bloeisoort (07-08) Microcystis;NVT;n/ml;cel;OW;M23;;GEM;2000-01-01;;;;>20000;>100000;;;;
AANTPVLME;Aantal per volume;FYT_bloei7;Fytopl. - bloeisoort (07-08) Microcystis;NVT;n/ml;cel;OW;M27;;GEM;2000-01-01;;;;>20000;>100000;;;;
AANTPVLME;Aantal per volume;FYT_bloei7;Fytopl. - bloeisoort (07-08) Microcystis;NVT;n/ml;cel;OW;M30;;GEM;2000-01-01;;;;>20000;>100000;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M3;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M4;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M6a;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M6b;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M7a;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M7b;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M10;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M12;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M14;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M20;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M23;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei9;Fytopl. - bloeisoort (09) Microcystis wesenbergii;NVT;n/ml;cel;OW;M27;;GEM;2000-01-01;;;>20000;;;;;;
AANTPVLME;Aantal per volume;FYT_bloei10;Fytopl. - bloeisoort (10) Scenedesmus soortenarm;NVT;n/ml;cel;OW;M3;;GEM;2000-01-01;;;;;>20000;;;;
